25,26,1.799
19,26,0.537
5,26,-0.292
47,26,-1.853
0,26,0.043
19,586,0.344
33,586,1.397
37,586,-0.534
6,586,-0.744
38,586,-0.455
0,1134,0.47
32,1134,-0.021
13,967,0.256
6,967,-0.49
1,1291,-0.177
39,1291,1.559
24,1291,-0.105
4,1291,1.526
38,1291,0.19
39,1403,0.082
26,1403,0.323
38,1403,0.05
46,879,-1.017
37,879,0.263
42,879,-0.006
10,879,-0.206
36,1022,-0.993
36,1022,-0.993
30,1022,-0.41
30,1022,-0.41
33,1022,0.525
33,1022,0.525
16,1022,0.029
16,1022,0.029
32,1022,0.837
32,1022,0.837
5,1112,-1.232
31,1112,-0.752
30,1112,-0.884
25,1112,-1.06
10,1112,-0.171
38,1112,-0.958
41,1112,-0.655
39,791,-2.348
8,791,-2.539
18,791,0.407
25,791,-2.503
44,791,1.021
28,791,-0.511
39,303,2.99
26,303,0.997
28,303,-0.241
18,303,-0.493
16,303,-0.633
37,303,2.187
19,797,1.203
0,797,-1.024
1,797,0.664
14,797,0.476
10,797,-1.809
21,797,-0.718
5,681,2.081
47,681,-0.422
1,681,0.992
28,681,-0.477
14,681,3.562
3,681,2.173
29,681,-2.875
21,681,0.045
12,681,0.254
20,934,-1.692
36,934,0.337
39,934,0.63
23,934,0.487
19,934,-0.094
43,934,-1.404
42,934,0.119
3,934,0.843
41,934,0.682
35,348,1.82
20,348,0.184
5,348,0.628
37,348,2.324
14,348,1.469
6,348,-0.121
27,234,0.437
30,234,-1.243
33,234,0.102
16,234,-0.04
44,234,1.196
4,234,1.196
1,234,-0.336
3,234,-0.007
28,1366,-1.767
45,1366,-0.039
23,1366,3.218
7,1366,-0.092
3,1366,1.371
32,1366,0.633
12,1366,-1.408
1,246,-0.099
18,246,-0.767
37,246,-0.14
14,246,0.217
36,663,1.261
19,663,1.048
26,663,-1.068
31,663,-0.705
18,663,1.149
44,663,-1.031
17,663,-0.937
6,663,-0.699
35,1425,-1.072
13,1425,-0.949
39,1425,1.223
26,1425,0.113
5,1425,1.175
25,1425,1.49
3,1425,0.99
9,1425,2.189
29,1425,0.435
6,1425,-0.463
38,1425,0.49
3,476,1.795
27,476,0.02
44,476,-0.678
9,476,-2
12,476,-0.907
15,188,-0.389
11,188,0.12
20,188,0.282
2,188,-0.059
26,1281,-0.549
25,1281,-0.967
42,1281,0.416
17,1281,-0.094
28,1281,0.73
12,1281,0.281
27,430,-2.061
16,430,-0.56
9,430,-0.136
41,430,-1.256
3,1120,-1.176
10,1120,-0.356
32,1120,-0.161
14,1148,1.045
35,1148,0.103
20,1148,-1.145
42,1148,0.302
19,1331,-0.345
5,1331,-0.091
3,1331,-1.476
0,706,1.121
36,706,-0.089
27,706,0.025
20,706,0.813
18,1372,-0.379
35,1372,-0.844
13,1372,-0.323
46,1372,-0.429
44,1372,-1.183
